Geo_Loc,Year,State,Pop_Est,TTL_Cnty,Cnty_Rpt,Dys_w_AQI,Dys_NM,Dys_Blw_Thr,Dys_Abv_Thr,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
POINT (-75.54397042699964 42.82700103200045),1981,New York,17567731,62,21,7022,643,6576,446,5436,1140,309,107,30,0,3881,1571,713,1728,812,4482,0,0
POINT (-79.15925046299964 35.466220975000454),1981,North Carolina,5956653,100,11,2797,1218,2541,256,1660,881,205,51,0,0,1826,1048,506,979,0,1818,0,0
POINT (-100.11842104899966 47.47531977900047),1981,North Dakota,659504,53,3,1093,2,1083,10,999,84,10,0,0,0,353,151,100,0,71,1022,0,0
POINT (-82.40426005599966 40.06021014100048),1981,Ohio,10788336,88,24,7664,1096,6998,666,5502,1496,459,175,32,0,4592,2207,924,1246,1184,5234,0,0
POINT (-97.52107021399968 35.47203135600046),1981,Oklahoma,3096159,77,4,1025,435,939,86,600,339,67,19,0,0,557,318,175,129,252,644,0,0
POINT (-120.15503132599969 44.56744942400047),1981,Oregon,2667985,36,8,2652,268,2529,123,1640,889,99,18,6,0,1433,562,353,1457,43,1152,0,0
POINT (-77.86070029399963 40.79373015200048),1981,Pennsylvania,11858569,67,24,7877,883,7171,706,5280,1891,470,184,52,0,5097,2137,973,260,3837,3780,0,0
POINT (-71.52247031399963 41.70828019300046),1981,Rhode Island,953012,5,2,711,19,656,55,440,216,27,18,10,0,440,194,89,189,94,428,0,0
POINT (-81.04537120699968 33.998821303000454),1981,South Carolina,3179255,46,13,3344,1401,3067,277,2302,765,234,42,1,0,2046,1165,513,736,1,2607,0,0
POINT (-100.3735306369997 44.353130053000484),1981,South Dakota,689584,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POINT (-85.77449091399967 35.68094058000048),1981,Tennessee,4627662,95,9,3156,129,2890,266,1926,964,206,55,5,0,1579,801,393,772,191,2193,0,0
POINT (-99.42677020599967 31.827240407000488),1981,Texas,14746318,254,16,4535,1305,4031,504,3086,945,290,155,59,0,3227,1575,656,312,988,3235,0,0
POINT (-111.58713063499971 39.360700171000474),1981,Utah,1515472,29,5,1697,128,1536,161,941,595,118,37,6,0,830,458,231,375,771,551,0,0
